"Path","File","Date Acquired","Sample","Misc"
"D:\DATA_FID_1\25032026\","O1_1110012299.D","25 Mar 2026  14:18    "," "," "
"Signal: O1_1110012299.D\FID1A.ch"
0.000,85465.937
0.001,85461.651
0.001,85488.827
0.001,85512.021
0.002,85514.199
0.002,85491.476
0.002,85529.556
0.003,85595.079
0.003,85632.859
0.003,85593.055
0.004,85521.100
0.004,85496.475
0.004,85488.473
0.005,85492.659
0.005,85482.759
0.005,85486.776
0.006,85476.740
0.006,85488.039
0.006,85543.835
0.007,85639.977
0.007,85660.296
0.007,85592.572
0.008,85559.932
0.008,85586.088
0.008,85697.041
0.009,85736.112
0.009,85670.265
0.009,85624.403
0.010,85634.756
0.010,85649.763
0.010,85598.033
0.011,85548.805
0.011,85546.524
0.011,85539.189
0.012,85518.296
0.012,85518.623
0.012,85532.479
0.013,85565.072
0.013,85566.177
0.013,85482.687
0.014,85458.080
0.014,85742.923
0.014,85780.460
0.015,85614.307
0.015,85326.252
0.015,85410.739
0.016,85593.311
0.016,85586.775
0.016,85543.033
0.017,85542.689
0.017,85562.319
0.017,85561.156
0.018,85444.284
0.018,85411.677
0.018,85387.917
0.019,85436.348
0.019,85475.651
0.019,85521.033
0.020,85593.587
0.020,85636.300
0.020,85606.525
0.021,85541.224
0.021,85432.499
0.021,85373.416
0.022,85380.673
0.022,85452.877
0.022,85517.309
0.023,85482.157
0.023,85482.425
0.023,85533.573
0.024,85586.913
0.024,85495.520
0.024,85350.723
0.025,85267.707
0.025,85306.577
0.025,85440.715
0.026,85550.660
0.026,85558.708
0.026,85453.195
0.027,85397.689
0.027,85447.480
0.027,85487.241
0.028,85514.364
0.028,85496.940
0.028,85563.075
0.029,85553.491
0.029,85505.624
0.029,85472.744
0.030,85520.727
0.030,85540.445
0.030,85504.592
0.031,85419.723
0.031,85408.289
0.031,85428.727
0.032,85452.708
0.032,85475.921
0.032,85478.337
0.033,85536.311
0.033,85549.063
0.033,85538.556
0.034,85457.948
0.034,85437.271
0.034,85550.071
0.035,85680.064
0.035,85719.557
0.035,85585.965
0.036,85440.920
0.036,85430.560
0.036,85490.101
0.037,85537.423
0.037,85497.052
0.037,85444.736
0.038,85438.745
0.038,85425.259
0.038,85414.551
0.039,85412.676
0.039,85421.008
0.039,85443.903
0.040,85465.011
0.040,85478.216
0.040,85500.672
0.041,85517.899
0.041,85566.043
0.041,85552.405
0.042,85497.509
0.042,85408.623
0.042,85359.959
0.043,85389.087
0.043,85455.743
0.043,85526.839
0.044,85543.196
0.044,85543.455
0.044,85525.805
0.045,85431.460
0.045,85410.971
0.045,85376.396
0.046,85440.025
0.046,85414.812
0.046,85406.103
0.047,85413.651
0.047,85409.492
0.047,85411.316
0.048,85401.456
0.048,85383.284
0.048,85434.824
0.049,85489.665
0.049,85549.620
0.049,85554.824
0.050,85484.244
0.050,85429.312
0.050,85389.891
0.051,85434.172
0.051,85529.821
0.051,85598.887
0.052,85633.903
0.052,85587.599
0.052,85489.573
0.053,85373.437
0.053,85333.705
0.053,85370.488
0.054,85412.293
0.054,85445.728
0.054,85442.668
0.055,85434.365
0.055,85381.464
0.055,85366.012
0.056,85404.204
0.056,85468.629
0.056,85489.124
0.057,85485.939
0.057,85489.713
0.057,85490.853
0.058,85498.868
0.058,85501.119
0.058,85494.079
0.059,85457.127
0.059,85415.761
0.059,85420.051
0.060,85435.315
0.060,85431.467
0.060,85468.851
0.061,85503.824
0.061,85561.307
0.061,85550.368
0.062,85543.120
0.062,85549.736
0.062,85549.772
0.063,85542.568
0.063,85472.904
0.063,85440.731
0.064,85419.067
0.064,85464.581
0.064,85498.996
0.065,85560.413
0.065,85610.597
0.065,85600.065
0.066,85516.849
0.066,85444.541
0.066,85433.429
0.067,85494.507
0.067,85503.859
0.067,85492.029
0.068,85454.983
0.068,85421.028
0.068,85415.659
0.069,85450.156
0.069,85508.755
0.069,85496.223
0.070,85455.211
0.070,85433.756
0.070,85479.615
0.071,85480.044
0.071,85468.984
0.071,85492.743
0.072,85521.236
0.072,85563.211
0.072,85526.729
0.073,85531.609
0.073,85493.087
0.073,85483.695
0.074,85422.840
0.074,85437.532
0.074,85449.571
0.075,85494.053
0.075,85445.835
0.075,85448.807
0.076,85537.361
0.076,85601.747
0.076,85588.763
0.077,85480.380
0.077,85487.760
0.077,85500.221
0.078,85507.645
0.078,85448.759
0.078,85410.579
0.079,85458.656
0.079,85541.568
0.079,85545.141
0.080,85481.729
0.080,85458.188
0.080,85524.049
0.081,85563.332
0.081,85536.996
0.081,85512.565
0.082,85519.660
0.082,85502.235
0.082,85482.759
0.083,85450.619
0.083,85443.081
0.083,85441.420
0.084,85447.057
0.084,85435.767
0.084,85429.357
0.085,85425.840
0.085,85467.092
0.085,85466.451
0.086,85390.864
0.086,85320.745
0.086,85309.283
0.087,85399.417
0.087,85443.761
0.087,85466.557
0.088,85493.631
0.088,85508.343
0.088,85479.456
0.089,85402.265
0.089,85357.951
0.089,85388.061
0.090,85453.024
0.090,85463.429
0.090,85432.071
0.091,85430.389
0.091,85481.632
0.091,85490.364
0.092,85456.607
0.092,85449.289
0.092,85464.087
0.093,85471.683
0.093,85456.817
0.093,85415.560
0.094,85378.329
0.094,85421.759
0.094,85464.505
0.095,85492.003
0.095,85428.900
0.095,85414.089
0.096,85414.264
0.096,85420.963
0.096,85473.535
0.097,85512.540
0.097,85492.044
0.097,85428.105
0.098,85383.663
0.098,85426.452
0.098,85440.771
0.099,85537.911
0.099,85605.088
0.099,85678.280
0.100,85650.804
0.100,85591.891
0.100,85582.672
0.101,85598.052
0.101,85617.472
0.101,85618.344
0.102,85538.769
0.102,85483.364
0.102,85432.195
0.103,85437.081
0.103,85392.700
0.103,85375.433
0.104,85392.188
0.104,85419.251
0.104,85393.596
0.105,85355.535
0.105,85380.268
0.105,85382.619
0.106,85417.212
0.106,85400.911
0.106,85465.837
0.107,85468.804
0.107,85518.715
0.107,85497.927
0.108,85465.871
0.108,85470.969
0.108,85506.091
0.109,85538.665
0.109,85548.631
0.109,85552.139
0.110,85553.736
0.110,85487.389
