diagnostic_bucket,n,MAE,RMSE,max_abs,within_0_3,within_0_5
under_c22_cluster,3,1.3787139400675554,1.3808096082447192,1.4366886273489148,0,0
over_c22_cluster,6,0.7151174820399175,0.7338886630608336,1.0027190885603185,0,0
under_c20_cluster,2,0.589308803852231,0.592325024604791,0.6490086235782488,0,0
watch_within_0_5,39,0.3848828959705214,0.3888769166826111,0.4912584259589421,0,39
ok_within_0_3,236,0.12919157664253017,0.1520529397492281,0.29995197899838555,236,236
