date,sample_no,sample_name,reference,calculated,delta,abs_delta,confidence,review_flag,outlier_class,diagnostic_bucket,diagnostic_reasons,baseline_mode,rt_shift,omega_c22_reference_ratio,omega_c22_overintegration_debit_points
03072026,105070585302,O25_104987292705.D,7.82,7.955726804592065,0.135726804592065,0.135726804592065,60.0,REVIEW,overestimated_unclassified,ok_within_0_3,"baseline_fallback,c20_complex_boundaries,c18_complex_boundaries,c22_credit_applied,large_rt_error,within_inter_operator_band",asls_shape_fallback,-0.010999999999999871,0.47837001385643757,0.0
03072026,104987292705,O26_105069916298.D,10.16,10.14412165545897,-0.01587834454102932,0.01587834454102932,60.0,REVIEW,underestimated_unclassified,ok_within_0_3,"baseline_fallback,c20_complex_boundaries,c18_complex_boundaries,c22_credit_applied,large_rt_error,asymmetric_peak_window,within_inter_operator_band",asls_shape_fallback,-0.014999999999999875,0.57043077876897,0.0
03072026,105069916298,O27_925663916002.D,2.5,3.5027190885603185,1.0027190885603185,1.0027190885603185,50.0,REJECT,overestimated_cluster,over_c22_cluster,"low_or_medium_confidence,c22_complex_boundaries,c20_complex_boundaries,c18_complex_boundaries,high_dpa_to_c22_4_ratio,c22_debit_applied,large_rt_error,overestimated_gt_0_5",chebyshev,-0.00999999999999987,2.702445209703304,0.45
03072026,925663916002,O28_105066653499.D,3.86,3.9843429373673738,0.1243429373673739,0.1243429373673739,74.0,REJECT,overestimated_cluster,ok_within_0_3,"baseline_fallback,c22_complex_boundaries,c18_complex_boundaries,large_rt_error,within_inter_operator_band",asls_shape_fallback,-0.00999999999999987,1.230654143112028,0.0
03072026,105066653499,O29_105069847902.D,4.44,4.661363317605218,0.22136331760521788,0.22136331760521788,74.0,REJECT,overestimated_cluster,ok_within_0_3,"baseline_fallback,c22_complex_boundaries,c18_complex_boundaries,large_rt_error,within_inter_operator_band",asls_shape_fallback,-0.013999999999999874,1.3445227524108287,0.0
03072026,105069847902,O30_910130574901.D,5.86,5.551395562641885,-0.30860443735811494,0.30860443735811494,68.0,REVIEW,underestimated_unclassified,watch_within_0_5,"baseline_fallback,c22_complex_boundaries,c18_complex_boundaries,c22_credit_applied,large_rt_error,asymmetric_peak_window,within_clinical_band",asls_shape_fallback,-0.00999999999999987,0.7756373787638486,0.0
03072026,910130574901,O31_105068424797.D,3.74,3.774031769057843,0.03403176905784289,0.03403176905784289,76.0,REVIEW,overestimated_cluster,ok_within_0_3,"c22_complex_boundaries,c18_complex_boundaries,large_rt_error,within_inter_operator_band",chebyshev,-0.00999999999999987,1.2154581874111983,0.0
03072026,105068424797,O32_105067656302.D,5.18,5.2221873724144015,0.042187372414401736,0.042187372414401736,72.0,REVIEW,overestimated_cluster,ok_within_0_3,"c22_complex_boundaries,c20_complex_boundaries,c18_complex_boundaries,large_rt_error,asymmetric_peak_window,within_inter_operator_band",chebyshev,-0.00999999999999987,1.2289602740503371,0.0
03072026,105067656302,O33_916770452599.D,5.37,5.294983030222017,-0.075016969777983,0.075016969777983,60.0,REVIEW,underestimated_unclassified,ok_within_0_3,"baseline_fallback,c18_complex_boundaries,c22_credit_applied,large_rt_error,asymmetric_peak_window,within_inter_operator_band",asls_shape_fallback,-0.00999999999999987,0.5411322394114004,0.0
03072026,916770452599,O34_105063823498.D,4.39,4.578044756535642,0.18804475653564268,0.18804475653564268,74.0,REJECT,overestimated_cluster,ok_within_0_3,"baseline_fallback,c22_complex_boundaries,c18_complex_boundaries,large_rt_error,asymmetric_peak_window,within_inter_operator_band",asls_shape_fallback,-0.011999999999999872,1.2579255871377475,0.0
03072026,105063823498,O35_105068114497.D,2.92,3.135613011880686,0.21561301188068605,0.21561301188068605,54.0,REJECT,overestimated_cluster,ok_within_0_3,"low_or_medium_confidence,c22_complex_boundaries,c20_complex_boundaries,c18_complex_boundaries,high_dpa_to_c22_4_ratio,c22_debit_applied,large_rt_error,within_inter_operator_band",chebyshev,-0.00999999999999987,1.5694411448555334,0.44999999999999996
03072026,105068114497,O36_105071495901.D,5.13,5.298969847734055,0.1689698477340551,0.1689698477340551,36.0,REJECT,overestimated_cluster,ok_within_0_3,"low_or_medium_confidence,baseline_fallback,c22_complex_boundaries,c20_complex_boundaries,c18_complex_boundaries,high_dpa_to_c22_4_ratio,c22_debit_applied,large_rt_error,asymmetric_peak_window,within_inter_operator_band",asls_shape_fallback,-0.010999999999999871,1.6078172567857634,0.45
