"Path","File","Date Acquired","Sample","Misc"
"D:\DATA_FID_1\12042026\","O1_1100029221.D","12 Apr 2026  16:44    "," "," "
"Signal: O1_1100029221.D\FID1A.ch"
0.000,70129.061
0.001,70152.052
0.001,70201.513
0.001,70230.396
0.002,70238.124
0.002,70243.769
0.002,70218.899
0.003,70200.659
0.003,70184.873
0.003,70188.343
0.004,70225.104
0.004,70209.185
0.004,70216.940
0.005,70210.873
0.005,70174.605
0.005,70153.633
0.006,70155.921
0.006,70199.355
0.006,70199.420
0.007,70181.731
0.007,70206.631
0.007,70214.881
0.008,70218.459
0.008,70186.820
0.008,70244.193
0.009,70298.925
0.009,70323.085
0.009,70299.037
0.010,70347.804
0.010,70397.636
0.010,70357.449
0.011,70251.327
0.011,70224.863
0.011,70236.573
0.012,70242.793
0.012,70179.104
0.012,70170.980
0.013,70201.832
0.013,70260.913
0.013,70203.225
0.014,70199.132
0.014,70458.200
0.014,70520.525
0.015,70422.792
0.015,70085.412
0.015,70074.855
0.016,70209.139
0.016,70316.588
0.016,70359.739
0.017,70292.484
0.017,70249.656
0.017,70236.583
0.018,70185.857
0.018,70195.797
0.018,70184.271
0.019,70235.764
0.019,70189.315
0.019,70135.399
0.020,70133.153
0.020,70153.228
0.020,70203.264
0.021,70230.709
0.021,70243.381
0.021,70194.288
0.022,70121.448
0.022,70123.557
0.022,70203.685
0.023,70244.903
0.023,70267.399
0.023,70273.043
0.024,70304.023
0.024,70291.004
0.024,70206.144
0.025,70182.088
0.025,70151.291
0.025,70204.237
0.026,70192.367
0.026,70168.387
0.026,70099.132
0.027,70078.787
0.027,70096.349
0.027,70174.157
0.028,70206.423
0.028,70210.789
0.028,70196.832
0.029,70207.625
0.029,70212.692
0.029,70162.351
0.030,70154.167
0.030,70161.172
0.030,70205.400
0.031,70176.009
0.031,70156.443
0.031,70160.071
0.032,70176.903
0.032,70150.827
0.032,70123.289
0.033,70126.636
0.033,70214.644
0.033,70227.435
0.034,70229.735
0.034,70174.645
0.034,70168.637
0.035,70158.000
0.035,70118.971
0.035,70131.483
0.036,70129.944
0.036,70159.620
0.036,70173.877
0.037,70180.528
0.037,70200.004
0.037,70213.163
0.038,70242.280
0.038,70226.973
0.038,70164.101
0.039,70137.135
0.039,70191.113
0.039,70251.897
0.040,70258.632
0.040,70216.964
0.040,70209.603
0.041,70232.779
0.041,70257.684
0.041,70262.673
0.042,70237.452
0.042,70184.132
0.042,70121.189
0.043,70086.513
0.043,70013.303
0.043,69948.796
0.044,69976.203
0.044,70091.252
0.044,70220.764
0.045,70213.521
0.045,70181.864
0.045,70154.407
0.046,70161.749
0.046,70193.004
0.046,70180.175
0.047,70162.495
0.047,70105.209
0.047,70086.709
0.048,70097.069
0.048,70126.967
0.048,70180.717
0.049,70195.215
0.049,70189.101
0.049,70181.528
0.050,70228.348
0.050,70231.323
0.050,70175.733
0.051,70117.349
0.051,70131.124
0.051,70186.187
0.052,70203.783
0.052,70217.457
0.052,70224.644
0.053,70254.188
0.053,70261.887
0.053,70292.072
0.054,70261.704
0.054,70237.391
0.054,70217.287
0.055,70133.925
0.055,70052.853
0.055,70062.379
0.056,70191.944
0.056,70264.703
0.056,70239.804
0.057,70197.409
0.057,70213.060
0.057,70232.593
0.058,70259.605
0.058,70260.507
0.058,70254.168
0.059,70234.105
0.059,70213.729
0.059,70156.648
0.060,70133.059
0.060,70119.392
0.060,70119.405
0.061,70070.637
0.061,70063.541
0.061,70095.227
0.062,70110.437
0.062,70098.524
0.062,70093.628
0.063,70159.607
0.063,70216.929
0.063,70187.380
0.064,70136.492
0.064,70138.487
0.064,70194.867
0.065,70212.323
0.065,70184.948
0.065,70170.880
0.066,70204.963
0.066,70197.744
0.066,70193.249
0.067,70168.255
0.067,70176.976
0.067,70177.727
0.068,70203.375
0.068,70209.520
0.068,70164.875
0.069,70109.464
0.069,70103.839
0.069,70128.213
0.070,70158.643
0.070,70187.104
0.070,70209.637
0.071,70214.717
0.071,70198.552
0.071,70168.991
0.072,70160.311
0.072,70163.968
0.072,70189.036
0.073,70164.927
0.073,70139.385
0.073,70162.881
0.074,70192.524
0.074,70268.803
0.074,70270.319
0.075,70269.465
0.075,70219.008
0.075,70185.407
0.076,70165.396
0.076,70133.767
0.076,70130.375
0.077,70134.405
0.077,70182.192
0.077,70229.705
0.078,70248.503
0.078,70215.445
0.078,70192.445
0.079,70202.804
0.079,70221.807
0.079,70222.568
0.080,70196.976
0.080,70155.363
0.080,70105.564
0.081,70125.177
0.081,70191.341
0.081,70214.972
0.082,70177.017
0.082,70133.359
0.082,70134.629
0.083,70157.647
0.083,70158.117
0.083,70169.564
0.084,70176.921
0.084,70160.479
0.084,70118.617
0.085,70061.697
0.085,70025.952
0.085,70052.923
0.086,70105.967
0.086,70171.793
0.086,70187.451
0.087,70192.532
0.087,70244.240
0.087,70287.644
0.088,70302.504
0.088,70269.363
0.088,70242.145
0.089,70244.416
0.089,70217.621
0.089,70147.701
0.090,70102.791
0.090,70121.621
0.090,70159.048
0.091,70197.859
0.091,70180.069
0.091,70187.979
0.092,70195.563
0.092,70210.247
0.092,70212.117
0.093,70168.781
0.093,70153.477
0.093,70133.211
0.094,70135.791
0.094,70153.739
0.094,70214.377
0.095,70246.645
0.095,70236.777
0.095,70203.315
0.096,70177.295
0.096,70188.893
0.096,70226.056
0.097,70226.844
0.097,70214.827
0.097,70203.557
0.098,70226.672
0.098,70244.872
0.098,70219.832
0.099,70258.943
0.099,70278.573
0.099,70301.365
0.100,70266.735
0.100,70207.527
0.100,70217.029
0.101,70214.313
0.101,70256.437
0.101,70226.964
0.102,70233.816
0.102,70236.596
0.102,70269.839
0.103,70285.124
0.103,70285.157
0.103,70252.847
0.104,70229.885
0.104,70185.391
0.104,70163.197
0.105,70178.185
0.105,70208.517
0.105,70155.188
0.106,70109.087
0.106,70063.284
0.106,70159.013
0.107,70192.608
0.107,70259.673
0.107,70245.123
0.108,70215.112
0.108,70184.011
0.108,70181.435
0.109,70218.541
0.109,70228.256
0.109,70211.181
0.110,70162.629
0.110,70179.625
0.110,70170.809
0.111,70222.307
0.111,70218.036
0.111,70269.321
0.112,70272.201
0.112,70245.207
0.112,70212.652
0.113,70203.881
0.113,70263.461
0.113,70271.803
0.114,70244.513
0.114,70156.840
0.114,70123.579
0.115,70107.237
